Created_date,Open,Closed,Resolved
2016-01-01,6,0,12
2016-01-02,4,4,4
2016-01-03,7,2,3
2016-01-04,35,5,24
2016-01-05,31,7,32
2016-01-06,38,7,31
2016-01-07,65,7,39
2016-01-08,48,11,32
2016-01-09,23,1,18
2016-01-10,57,2,14
2016-01-11,50,16,40
2016-01-12,55,19,46
2016-01-13,60,9,37
2016-01-14,54,18,30
2016-01-15,40,19,57
2016-01-16,34,7,23
2016-01-17,5,3,8
2016-01-18,30,24,38
2016-01-19,44,15,52
2016-01-20,47,14,62
2016-01-21,68,24,57
2016-01-22,55,17,65
2016-01-23,11,6,29
2016-01-24,8,8,21
2016-01-25,39,38,45
2016-01-26,54,21,62
2016-01-27,49,26,100
2016-01-28,62,26,78
2016-01-29,46,24,55
2016-01-30,19,2,25
2016-01-31,9,7,16
2016-02-01,37,41,50
2016-02-02,43,43,69
2016-02-03,58,33,76
2016-02-04,77,39,56
2016-02-05,45,28,93
2016-02-06,20,3,38
2016-02-07,12,3,24
2016-02-08,31,61,54
2016-02-09,39,39,73
2016-02-10,55,39,67
2016-02-11,49,22,79
2016-02-12,44,20,75
2016-02-13,14,35,32
2016-02-14,15,14,21
2016-02-15,46,26,47
2016-02-16,50,46,52
2016-02-17,61,31,68
2016-02-18,78,36,73
2016-02-19,71,93,72
2016-02-20,16,18,43
2016-02-21,15,18,21
2016-02-22,52,52,69
2016-02-23,63,43,90
2016-02-24,54,38,134
2016-02-25,69,34,71
2016-02-26,71,63,98
2016-02-27,23,12,32
2016-02-28,5,98,21
2016-02-29,57,24,64
2016-03-01,51,29,86
2016-03-02,52,137,86
2016-03-03,77,33,100
2016-03-04,41,32,79
2016-03-05,12,5,16
2016-03-06,12,22,22
2016-03-07,41,18,61
2016-03-08,51,38,80
2016-03-09,51,46,85
2016-03-10,67,61,73
2016-03-11,37,54,82
2016-03-12,5,3,4
2016-03-13,15,21,38
2016-03-14,70,115,59
2016-03-15,54,28,90
2016-03-16,50,19,107
2016-03-17,47,147,75
2016-03-18,35,41,60
2016-03-19,14,19,28
2016-03-20,13,7,26
2016-03-21,57,37,70
2016-03-22,55,76,102
2016-03-23,76,24,113
2016-03-24,87,39,59
2016-03-25,49,18,75
2016-03-26,27,8,28
2016-03-27,11,13,17
2016-03-28,21,25,49
2016-03-29,61,48,74
2016-03-30,66,83,83
2016-03-31,49,67,93
2016-04-01,53,36,72
2016-04-02,15,6,36
2016-04-03,6,17,19
2016-04-04,41,34,66
2016-04-05,63,66,91
2016-04-06,58,41,86
2016-04-07,56,28,69
2016-04-08,40,28,64
2016-04-09,11,9,35
2016-04-10,7,8,20
2016-04-11,50,75,76
2016-04-12,58,285,175
2016-04-13,65,79,99
2016-04-14,59,48,85
2016-04-15,47,42,74
2016-04-16,11,14,36
2016-04-17,10,12,29
2016-04-18,38,27,68
2016-04-19,56,25,113
2016-04-20,62,39,93
2016-04-21,80,52,68
2016-04-22,62,49,116
2016-04-23,11,9,47
2016-04-24,7,3,23
2016-04-25,41,32,92
2016-04-26,50,30,90
2016-04-27,102,65,106
2016-04-28,92,38,110
2016-04-29,43,25,123
2016-04-30,10,8,34
2016-05-01,17,4,17
2016-05-02,42,29,68
2016-05-03,58,24,130
2016-05-04,37,26,95
2016-05-05,47,43,83
2016-05-06,38,51,96
2016-05-07,14,4,25
2016-05-08,12,24,19
2016-05-09,76,83,158
2016-05-10,69,74,103
2016-05-11,83,69,88
2016-05-12,31,50,134
2016-05-13,48,32,82
2016-05-14,10,57,22
2016-05-15,7,9,14
2016-05-16,59,95,84
2016-05-17,60,59,175
2016-05-18,61,144,84
2016-05-19,58,28,97
2016-05-20,52,47,118
2016-05-21,21,65,45
2016-05-22,15,26,23
2016-05-23,56,36,61
2016-05-24,57,63,102
2016-05-25,54,34,66
2016-05-26,54,99,83
2016-05-27,83,43,84
2016-05-28,16,49,40
2016-05-29,18,20,24
2016-05-30,31,19,54
2016-05-31,58,27,211
2016-06-01,58,44,106
2016-06-02,64,57,113
2016-06-03,53,98,110
2016-06-04,15,12,33
2016-06-05,10,11,9
2016-06-06,41,41,137
2016-06-07,77,52,125
2016-06-08,63,101,83
2016-06-09,81,33,124
2016-06-10,43,89,117
2016-06-11,22,11,37
2016-06-12,12,69,24
2016-06-13,54,44,100
2016-06-14,54,27,115
2016-06-15,46,73,103
2016-06-16,62,48,104
2016-06-17,52,233,114
2016-06-18,20,48,47
2016-06-19,9,49,13
2016-06-20,64,55,136
2016-06-21,59,434,142
2016-06-22,53,46,93
2016-06-23,41,65,88
2016-06-24,44,63,110
2016-06-25,14,29,19
2016-06-26,10,18,14
2016-06-27,73,96,74
2016-06-28,55,55,125
2016-06-29,43,39,95
2016-06-30,52,35,92
2016-07-01,49,57,102
2016-07-02,13,17,29
2016-07-03,14,13,15
2016-07-04,19,66,57
2016-07-05,54,53,86
2016-07-06,46,37,149
2016-07-07,42,24,119
2016-07-08,41,48,76
2016-07-09,9,58,31
2016-07-10,7,13,13
2016-07-11,46,140,153
2016-07-12,63,47,113
2016-07-13,73,81,86
2016-07-14,49,316,453
2016-07-15,52,48,94
2016-07-16,15,26,32
2016-07-17,12,23,37
2016-07-18,61,39,66
2016-07-19,62,161,100
2016-07-20,59,27,111
2016-07-21,58,111,66
2016-07-22,63,31,82
2016-07-23,17,6,19
2016-07-24,9,22,17
2016-07-25,48,46,80
2016-07-26,60,34,76
2016-07-27,68,24,87
2016-07-28,68,91,65
2016-07-29,49,23,61
2016-07-30,4,10,25
2016-07-31,8,6,14
2016-08-01,42,34,68
2016-08-02,52,48,68
2016-08-03,47,56,56
2016-08-04,73,39,463
2016-08-05,60,66,67
2016-08-06,10,10,20
2016-08-07,10,14,25
2016-08-08,33,26,75
2016-08-09,43,34,78
2016-08-10,57,36,76
2016-08-11,50,192,100
2016-08-12,44,116,107
2016-08-13,7,7,22
2016-08-14,4,13,26
2016-08-15,28,36,70
2016-08-16,69,46,101
2016-08-17,58,66,178
2016-08-18,53,64,71
2016-08-19,42,45,71
2016-08-20,13,4,29
2016-08-21,15,21,22
2016-08-22,52,352,70
2016-08-23,85,45,98
2016-08-24,64,68,83
2016-08-25,72,96,85
2016-08-26,44,119,72
2016-08-27,21,65,24
2016-08-28,16,29,29
2016-08-29,51,72,70
2016-08-30,76,89,582
2016-08-31,58,39,95
2016-09-01,50,114,89
2016-09-02,53,47,87
2016-09-03,16,45,20
2016-09-04,8,103,18
2016-09-05,18,32,35
2016-09-06,42,61,87
2016-09-07,65,41,91
2016-09-08,49,58,100
2016-09-09,51,116,78
2016-09-10,15,12,32
2016-09-11,15,23,34
2016-09-12,30,61,111
2016-09-13,72,36,100
2016-09-14,66,45,105
2016-09-15,53,83,103
2016-09-16,44,49,81
2016-09-17,11,81,51
2016-09-18,27,41,27
2016-09-19,45,123,93
2016-09-20,48,86,89
2016-09-21,52,74,76
2016-09-22,61,51,82
2016-09-23,47,35,82
2016-09-24,17,10,61
2016-09-25,11,11,18
2016-09-26,62,30,58
2016-09-27,55,75,94
2016-09-28,59,101,106
2016-09-29,78,57,115
2016-09-30,47,34,66
2016-10-01,12,29,26
2016-10-02,11,10,14
2016-10-03,47,58,69
2016-10-04,53,81,222
2016-10-05,62,55,66
2016-10-06,50,97,97
2016-10-07,64,51,139
2016-10-08,12,53,88
2016-10-09,19,23,35
2016-10-10,58,116,81
2016-10-11,51,77,91
2016-10-12,82,58,102
2016-10-13,51,43,109
2016-10-14,53,168,142
2016-10-15,13,52,14
2016-10-16,11,35,18
2016-10-17,53,78,102
2016-10-18,49,83,131
2016-10-19,80,67,82
2016-10-20,76,34,172
2016-10-21,80,214,123
2016-10-22,17,13,35
2016-10-23,7,12,18
2016-10-24,58,42,68
2016-10-25,61,259,92
2016-10-26,61,50,97
2016-10-27,71,52,91
2016-10-28,55,37,82
2016-10-29,14,34,23
2016-10-30,13,11,17
2016-10-31,44,71,80
2016-11-01,40,87,153
2016-11-02,65,127,153
2016-11-03,63,333,122
2016-11-04,90,74,101
2016-11-05,27,334,44
2016-11-06,8,15,70
2016-11-07,47,302,123
2016-11-08,74,125,102
2016-11-09,54,75,128
2016-11-10,49,247,130
2016-11-11,41,51,101
2016-11-12,12,10,34
2016-11-13,11,15,17
2016-11-14,44,124,79
2016-11-15,68,40,127
2016-11-16,53,53,121
2016-11-17,62,112,79
2016-11-18,51,34,79
2016-11-19,12,14,33
2016-11-20,13,11,21
2016-11-21,53,62,116
2016-11-22,64,39,123
2016-11-23,74,42,90
2016-11-24,43,26,66
2016-11-25,31,22,51
2016-11-26,21,100,21
2016-11-27,15,18,20
2016-11-28,50,66,74
2016-11-29,64,30,115
2016-11-30,57,45,108
2016-12-01,48,45,75
2016-12-02,42,235,108
2016-12-03,16,17,54
2016-12-04,13,10,58
2016-12-05,52,27,121
2016-12-06,78,99,115
2016-12-07,55,60,111
2016-12-08,60,233,116
2016-12-09,59,55,87
2016-12-10,11,58,23
2016-12-11,15,14,22
2016-12-12,70,112,72
2016-12-13,62,101,106
2016-12-14,50,58,80
2016-12-15,61,47,124
2016-12-16,66,92,98
2016-12-17,12,94,28
2016-12-18,10,36,16
2016-12-19,52,93,121
2016-12-20,40,35,92
2016-12-21,63,43,101
2016-12-22,59,99,103
2016-12-23,36,53,61
2016-12-24,5,15,11
2016-12-25,3,16,6
2016-12-26,20,17,33
2016-12-27,26,55,61
2016-12-28,26,24,94
2016-12-29,37,30,63
2016-12-30,15,20,53
2016-12-31,6,11,11
2017-01-01,5,2,29
2017-01-02,23,14,29
2017-01-03,39,39,87
2017-01-04,48,48,247
2017-01-05,61,33,112
2017-01-06,53,190,135
2017-01-07,28,35,31
2017-01-08,13,28,47
2017-01-09,48,71,79
2017-01-10,63,85,120
2017-01-11,49,33,121
2017-01-12,132,25,81
2017-01-13,58,41,117
2017-01-14,29,25,35
2017-01-15,11,25,26
2017-01-16,41,53,99
2017-01-17,55,81,142
2017-01-18,58,81,138
2017-01-19,69,58,89
2017-01-20,64,94,108
2017-01-21,21,22,45
2017-01-22,26,45,31
2017-01-23,51,115,106
2017-01-24,61,71,125
2017-01-25,78,46,101
2017-01-26,46,31,120
2017-01-27,38,101,109
2017-01-28,14,8,23
2017-01-29,7,43,48
2017-01-30,47,63,72
2017-01-31,50,42,86
2017-02-01,56,104,103
2017-02-02,48,28,87
2017-02-03,41,47,105
2017-02-04,27,29,42
2017-02-05,15,12,22
2017-02-06,49,53,113
2017-02-07,122,51,95
2017-02-08,75,142,134
2017-02-09,63,135,122
2017-02-10,69,110,89
2017-02-11,20,43,32
2017-02-12,23,9,23
2017-02-13,52,96,257
2017-02-14,69,104,105
2017-02-15,53,45,106
2017-02-16,57,119,107
2017-02-17,58,36,100
2017-02-18,17,159,184
2017-02-19,25,34,59
2017-02-20,60,62,60
2017-02-21,60,48,83
2017-02-22,86,96,152
2017-02-23,82,67,105
2017-02-24,79,83,142
2017-02-25,38,18,43
2017-02-26,14,51,31
2017-02-27,64,72,92
2017-02-28,55,79,144
2017-03-01,62,54,140
2017-03-02,78,106,125
2017-03-03,71,47,111
2017-03-04,19,12,45
2017-03-05,11,30,34
2017-03-06,62,57,193
2017-03-07,55,50,98
2017-03-08,62,53,106
2017-03-09,76,34,121
2017-03-10,57,33,115
2017-03-11,24,11,23
2017-03-12,8,5,18
2017-03-13,59,52,95
2017-03-14,80,140,123
2017-03-15,80,59,108
2017-03-16,72,46,120
2017-03-17,53,77,106
2017-03-18,14,15,37
2017-03-19,24,10,56
2017-03-20,61,56,291
2017-03-21,70,37,118
2017-03-22,46,85,95
2017-03-23,65,48,106
2017-03-24,54,132,94
2017-03-25,16,221,24
2017-03-26,12,15,91
2017-03-27,73,122,87
2017-03-28,50,79,99
2017-03-29,59,303,82
2017-03-30,60,44,107
2017-03-31,40,117,76
2017-04-01,16,84,34
2017-04-02,9,13,32
2017-04-03,60,43,57
2017-04-04,52,48,95
2017-04-05,61,47,111
2017-04-06,63,56,134
2017-04-07,71,38,84
2017-04-08,37,5,26
2017-04-09,9,7,20
2017-04-10,58,121,85
2017-04-11,63,52,80
2017-04-12,61,17,90
2017-04-13,60,24,114
2017-04-14,40,88,71
2017-04-15,12,28,22
2017-04-16,10,19,36
2017-04-17,56,38,121
2017-04-18,78,45,97
2017-04-19,56,94,104
2017-04-20,73,72,105
2017-04-21,73,94,145
2017-04-22,8,8,30
2017-04-23,24,24,16
2017-04-24,44,32,68
2017-04-25,77,41,97
2017-04-26,56,31,227
2017-04-27,57,52,140
2017-04-28,58,46,99
2017-04-29,8,18,27
2017-04-30,15,206,69
2017-05-01,52,43,74
2017-05-02,55,140,138
2017-05-03,82,171,84
2017-05-04,72,79,88
2017-05-05,77,130,135
2017-05-06,21,7,38
2017-05-07,27,27,24
2017-05-08,102,95,83
2017-05-09,82,93,149
2017-05-10,70,116,113
2017-05-11,86,89,152
2017-05-12,68,37,114
2017-05-13,15,9,35
2017-05-14,13,22,18
2017-05-15,120,107,112
2017-05-16,78,91,117
2017-05-17,68,51,184
2017-05-18,63,90,124
2017-05-19,64,45,73
2017-05-20,8,5,21
2017-05-21,13,16,19
2017-05-22,47,44,99
2017-05-23,56,42,155
2017-05-24,53,40,141
2017-05-25,57,48,121
2017-05-26,54,28,95
2017-05-27,14,21,47
2017-05-28,13,13,19
2017-05-29,37,32,36
2017-05-30,62,278,116
2017-05-31,76,50,131
2017-06-01,61,49,121
2017-06-02,56,38,110
2017-06-03,19,8,29
2017-06-04,16,11,26
2017-06-05,47,24,78
2017-06-06,74,48,107
2017-06-07,66,51,164
2017-06-08,56,97,273
2017-06-09,72,45,151
2017-06-10,18,7,38
2017-06-11,10,11,23
2017-06-12,44,53,134
2017-06-13,62,44,117
2017-06-14,71,34,81
2017-06-15,80,46,98
2017-06-16,60,31,125
2017-06-17,10,2859,41
2017-06-18,11,224,13
2017-06-19,60,53,83
2017-06-20,64,45,74
2017-06-21,54,253,108
2017-06-22,70,47,107
2017-06-23,78,42,102
2017-06-24,16,18,39
2017-06-25,6,20,19
2017-06-26,54,107,86
2017-06-27,62,31,87
2017-06-28,81,77,89
2017-06-29,86,51,127
2017-06-30,70,99,103
2017-07-01,22,262,46
2017-07-02,14,9,18
2017-07-03,50,93,136
2017-07-04,59,49,74
2017-07-05,65,71,80
2017-07-06,63,85,107
2017-07-07,63,53,103
2017-07-08,17,34,19
2017-07-09,17,22,39
2017-07-10,52,54,124
2017-07-11,65,110,143
2017-07-12,70,46,111
2017-07-13,53,79,103
2017-07-14,61,25,69
2017-07-15,11,6,22
2017-07-16,13,5,27
2017-07-17,79,28,83
2017-07-18,65,27,68
2017-07-19,194,32,95
2017-07-20,100,21,72
2017-07-21,49,127,600
2017-07-22,15,18,22
2017-07-23,13,6,23
2017-07-24,60,54,304
2017-07-25,69,258,143
2017-07-26,66,302,93
2017-07-27,65,54,87
2017-07-28,65,46,69
2017-07-29,18,5,34
2017-07-30,10,20,18
2017-07-31,56,65,66
2017-08-01,87,121,79
2017-08-02,50,70,111
2017-08-03,60,52,95
2017-08-04,73,19,106
2017-08-05,11,5,23
2017-08-06,11,9,17
2017-08-07,69,54,95
2017-08-08,60,41,104
2017-08-09,54,127,90
2017-08-10,58,46,80
2017-08-11,60,38,104
2017-08-12,11,7,18
2017-08-13,9,12,12
2017-08-14,50,91,63
2017-08-15,70,24,63
2017-08-16,69,39,124
2017-08-17,51,133,116
2017-08-18,54,39,96
2017-08-19,12,23,37
2017-08-20,15,13,20
2017-08-21,56,47,81
2017-08-22,67,275,118
2017-08-23,62,50,118
2017-08-24,51,20,145
2017-08-25,48,64,91
2017-08-26,11,25,26
2017-08-27,9,16,11
2017-08-28,58,116,196
2017-08-29,62,39,119
2017-08-30,56,60,167
2017-08-31,53,259,115
2017-09-01,53,79,148
2017-09-02,7,11,23
2017-09-03,20,20,33
2017-09-04,29,96,71
2017-09-05,63,46,125
2017-09-06,59,37,100
2017-09-07,42,27,114
2017-09-08,72,62,137
2017-09-09,19,222,51
2017-09-10,10,17,25
2017-09-11,56,37,154
2017-09-12,62,43,124
2017-09-13,75,67,108
2017-09-14,62,73,81
2017-09-15,52,34,95
2017-09-16,5,13,32
2017-09-17,9,8,13
2017-09-18,44,84,116
2017-09-19,89,36,138
2017-09-20,74,133,103
2017-09-21,68,50,108
2017-09-22,61,47,116
2017-09-23,18,26,36
2017-09-24,9,11,30
2017-09-25,61,74,152
2017-09-26,63,32,107
2017-09-27,63,49,105
2017-09-28,68,32,232
2017-09-29,65,60,95
2017-09-30,14,13,24
2017-10-01,9,15,13
2017-10-02,61,73,96
2017-10-03,54,23,82
2017-10-04,54,40,127
2017-10-05,70,41,95
2017-10-06,56,32,102
2017-10-07,22,25,31
2017-10-08,12,8,27
2017-10-09,50,62,89
2017-10-10,79,42,103
2017-10-11,58,32,128
2017-10-12,59,62,134
2017-10-13,65,124,68
2017-10-14,13,14,26
2017-10-15,2,7,15
2017-10-16,45,30,111
2017-10-17,88,146,89
2017-10-18,63,37,86
2017-10-19,57,689,100
2017-10-20,68,45,82
2017-10-21,15,18,123
2017-10-22,8,15,12
2017-10-23,70,46,143
2017-10-24,46,188,83
2017-10-25,69,32,106
2017-10-26,36,49,88
2017-10-27,91,109,71
2017-10-28,18,29,39
2017-10-29,7,17,23
2017-10-30,56,45,108
2017-10-31,65,22,78
2017-11-01,57,35,62
2017-11-02,58,121,65
2017-11-03,53,89,82
2017-11-04,25,12,22
2017-11-05,17,13,19
2017-11-06,62,51,187
2017-11-07,58,40,85
2017-11-08,55,53,102
2017-11-09,64,129,358
2017-11-10,61,59,73
2017-11-11,12,87,31
2017-11-12,12,8,21
2017-11-13,65,69,117
2017-11-14,61,185,93
2017-11-15,77,42,96
2017-11-16,68,38,78
2017-11-17,61,37,78
2017-11-18,10,8,18
2017-11-19,22,10,25
2017-11-20,51,341,107
2017-11-21,58,39,119
2017-11-22,51,72,119
2017-11-23,34,42,78
2017-11-24,19,28,74
2017-11-25,14,12,24
2017-11-26,16,11,26
2017-11-27,69,88,92
2017-11-28,75,178,117
2017-11-29,60,71,100
2017-11-30,57,101,96
2017-12-01,49,39,66
2017-12-02,16,31,26
2017-12-03,22,10,15
2017-12-04,40,38,101
2017-12-05,64,118,107
2017-12-06,63,34,100
2017-12-07,54,154,106
2017-12-08,41,112,111
2017-12-09,24,80,17
2017-12-10,11,35,13
2017-12-11,41,37,58
2017-12-12,47,46,105
2017-12-13,70,101,85
2017-12-14,32,338,90
2017-12-15,39,44,70
2017-12-16,14,40,23
2017-12-17,10,91,32
2017-12-18,47,57,112
2017-12-19,81,79,108
2017-12-20,44,93,92
2017-12-21,61,26,85
2017-12-22,51,88,95
2017-12-23,14,18,23
2017-12-24,10,40,9
2017-12-25,9,31,21
2017-12-26,26,27,65
2017-12-27,25,19,44
2017-12-28,36,30,60
2017-12-29,24,21,41
2017-12-30,6,90,16
2017-12-31,7,16,26
2018-01-01,8,12,9
2018-01-02,43,260,80
2018-01-03,53,29,284
2018-01-04,58,29,98
2018-01-05,55,79,87
2018-01-06,11,18,29
2018-01-07,9,18,16
2018-01-08,60,172,92
2018-01-09,65,33,105
2018-01-10,60,89,161
2018-01-11,86,41,98
2018-01-12,62,100,87
2018-01-13,9,43,54
2018-01-14,6,10,21
2018-01-15,42,36,65
2018-01-16,40,55,124
2018-01-17,56,37,121
2018-01-18,55,24,115
2018-01-19,47,56,134
2018-01-20,15,27,34
2018-01-21,8,50,34
2018-01-22,65,41,114
2018-01-23,68,38,83
2018-01-24,64,69,105
2018-01-25,83,238,116
2018-01-26,45,90,80
2018-01-27,19,16,37
2018-01-28,9,20,39
2018-01-29,59,91,100
2018-01-30,65,55,145
2018-01-31,87,40,184
2018-02-01,108,285,123
2018-02-02,94,44,107
2018-02-03,49,19,76
2018-02-04,20,8,19
2018-02-05,60,46,73
2018-02-06,68,75,148
2018-02-07,58,92,98
2018-02-08,48,39,95
2018-02-09,74,64,88
2018-02-10,14,24,29
2018-02-11,15,20,16
2018-02-12,66,35,89
2018-02-13,75,45,90
2018-02-14,64,74,77
2018-02-15,83,36,95
2018-02-16,46,42,350
2018-02-17,12,20,29
2018-02-18,9,46,12
2018-02-19,38,52,68
2018-02-20,49,45,80
2018-02-21,53,31,88
2018-02-22,55,75,81
2018-02-23,50,38,64
2018-02-24,16,44,48
2018-02-25,14,28,44
2018-02-26,44,35,126
2018-02-27,64,39,74
2018-02-28,53,50,101
2018-03-01,72,50,68
2018-03-02,49,15,98
2018-03-03,15,31,36
2018-03-04,17,36,82
2018-03-05,58,59,107
2018-03-06,62,166,118
2018-03-07,66,68,155
2018-03-08,68,113,66
2018-03-09,58,54,120
2018-03-10,24,6,31
2018-03-11,12,18,17
2018-03-12,54,81,92
2018-03-13,81,48,87
2018-03-14,57,55,108
2018-03-15,74,45,92
2018-03-16,75,47,102
2018-03-17,32,82,28
2018-03-18,15,22,16
2018-03-19,63,38,134
2018-03-20,69,23,70
2018-03-21,72,38,618
2018-03-22,67,46,202
2018-03-23,91,43,77
2018-03-24,22,81,15
2018-03-25,17,15,41
2018-03-26,70,135,173
2018-03-27,53,38,82
2018-03-28,69,22,106
2018-03-29,53,35,112
2018-03-30,35,27,81
2018-03-31,16,8,32
2018-04-01,15,11,43
2018-04-02,45,281,76
2018-04-03,55,50,71
2018-04-04,61,118,134
2018-04-05,39,53,173
2018-04-06,48,44,179
2018-04-07,13,18,21
2018-04-08,12,10,20
2018-04-09,75,335,108
2018-04-10,46,54,105
2018-04-11,63,27,82
2018-04-12,60,26,112
2018-04-13,70,32,108
2018-04-14,15,11,38
2018-04-15,21,7,9
2018-04-16,57,72,84
2018-04-17,73,65,108
2018-04-18,75,42,116
2018-04-19,71,57,97
2018-04-20,64,852,74
2018-04-21,14,5,77
2018-04-22,11,11,16
2018-04-23,73,53,99
2018-04-24,69,91,271
2018-04-25,67,75,146
2018-04-26,38,121,567
2018-04-27,53,106,71
